#stages0 = writecat:legacypipe:DR9.6.7
#stages1 = writecat:legacypipe:DR9.6.4
#stages2 = srcs:legacypipe:DR9.6.5 writecat:legacypipe:DR9.6.7
#stages3 = srcs:legacypipe:DR9.6.5-4-gbb698724 writecat:legacypipe:DR9.6.7
#stages4 = srcs:legacypipe:DR9.6.5 writecat:legacypipe:DR9.6.5-4-gbb698724
#stages5 = srcs:legacypipe:DR9.6.4 writecat:legacypipe:DR9.6.7
#stages6 = writecat:legacypipe:DR9.6.5-4-gbb698724
#stages7 = writecat:legacypipe:DR9.6.5
#stages8 = writecat:legacypipe:DR9.6.8
#stages9 = srcs:legacypipe:DR9.6.5-4-gbb698724 writecat:legacypipe:DR9.6.6
3088m007 file0_rs0_skip0 stages2
0074p180 file0_rs0_skip0 stages4
3175p092 file0_rs0_skip0 stages4
0623m020 file0_rs0_skip0 stages8
0272p255 file0_rs0_skip0 stages4
0182m075 file0_rs0_skip0 stages0
0461p040 file0_rs0_skip0 stages6
2712p250 file0_rs0_skip0 stages2
3301m030 file0_rs0_skip0 stages4
3249p165 file0_rs0_skip0 stages4
0491p015 file0_rs0_skip0 stages9
2600p102 file0_rs0_skip0 stages2
3123p027 file0_rs0_skip0 stages4
3383p050 file0_rs0_skip0 stages2
3512p292 file0_rs0_skip0 stages0
3500p205 file0_rs0_skip0 stages0
3098p062 file0_rs0_skip0 stages4
3515p295 file0_rs0_skip0 stages0
3494p250 file0_rs0_skip0 stages8
0671m087 file0_rs0_skip0 stages0
2591p147 file0_rs0_skip0 stages2
3419p077 file0_rs0_skip0 stages7
3426p327 file0_rs0_skip0 stages7
0242p227 file0_rs0_skip0 stages6
0406p117 file0_rs0_skip0 stages6
0306p250 file0_rs0_skip0 stages4
3180p050 file0_rs0_skip0 stages4
0347p217 file0_rs0_skip0 stages3
0226p175 file0_rs0_skip0 stages4
0423p122 file0_rs0_skip0 stages6
0333p175 file0_rs0_skip0 stages4
0369p272 file0_rs0_skip0 stages4
2526p055 file0_rs0_skip0 stages0
2576p085 file0_rs0_skip0 stages2
0377p205 file0_rs0_skip0 stages6
0369p137 file0_rs0_skip0 stages6
3258p160 file0_rs0_skip0 stages0
0614m035 file0_rs0_skip0 stages0
3582p232 file0_rs0_skip0 stages0
0222p267 file0_rs0_skip0 stages4
2541p087 file0_rs0_skip0 stages2
0215p265 file0_rs0_skip0 stages4
1473m072 file0_rs0_skip0 stages1
3500p077 file0_rs0_skip0 stages0
0683m132 file0_rs0_skip0 stages0
3190m072 file0_rs0_skip0 stages2
0572m032 file0_rs0_skip0 stages0
0353p120 file0_rs0_skip0 stages0
0018p085 file0_rs0_skip0 stages7
0516p007 file0_rs0_skip0 stages0
2722p262 file0_rs0_skip0 stages2
3119p055 file0_rs0_skip0 stages2
0334p217 file0_rs0_skip0 stages0
0631m015 file0_rs0_skip0 stages0
0322p210 file0_rs0_skip0 stages0
0658p010 file0_rs0_skip0 stages0
2523p045 file0_rs0_skip0 stages0
0051p090 file0_rs0_skip0 stages7
2378p017 file0_rs0_skip0 stages7
3263p177 file0_rs0_skip0 stages4
3220p125 file0_rs0_skip0 stages2
0182m070 file0_rs0_skip0 stages0
0399p105 file0_rs0_skip0 stages6
3392p075 file0_rs0_skip0 stages2
0550m162 file0_rs0_skip0 stages0
0260p252 file0_rs0_skip0 stages6
2520p045 file0_rs0_skip0 stages4
0036p075 file0_rs0_skip0 stages7
0499p035 file0_rs0_skip0 stages0
0357p132 file0_rs0_skip0 stages6
0484p042 file0_rs0_skip0 stages6
3427p235 file0_rs0_skip0 stages7
0222p102 file0_rs0_skip0 stages7
0382p182 file0_rs0_skip0 stages6
0401p135 file0_rs0_skip0 stages6
0304p115 file0_rs0_skip0 stages4
0257p235 file0_rs0_skip0 stages0
0429p170 file0_rs0_skip0 stages0
2602p110 file0_rs0_skip0 stages4
3571p065 file0_rs0_skip0 stages0
2488m012 file0_rs0_skip0 stages0
0422p135 file0_rs0_skip0 stages6
2700p147 file0_rs0_skip0 stages7
0349p177 file0_rs0_skip0 stages6
2571p070 file0_rs0_skip0 stages2
0549m167 file0_rs0_skip0 stages0
0611m027 file0_rs0_skip0 stages0
2448m017 file0_rs0_skip0 stages0
2377p035 file0_rs0_skip0 stages4
3288m012 file0_rs0_skip0 stages4
0393p262 file0_rs0_skip0 stages6
2256m032 file0_rs0_skip0 stages1
3520p335 file0_rs0_skip0 stages0
0397p137 file0_rs0_skip0 stages6
3436p025 file0_rs0_skip0 stages7
2416p000 file0_rs0_skip0 stages7
3254p167 file0_rs0_skip0 stages0
2545p095 file0_rs0_skip0 stages0
3392p077 file0_rs0_skip0 stages2
0557m170 file0_rs0_skip0 stages0
0367p220 file0_rs0_skip0 stages4
2587p090 file0_rs0_skip0 stages4
0548m010 file0_rs0_skip0 stages0
0207p167 file0_rs0_skip0 stages7
2584p070 file0_rs0_skip0 stages7
2481m015 file0_rs0_skip0 stages4
3487p197 file0_rs0_skip0 stages0
0394p257 file0_rs0_skip0 stages6
2286m030 file0_rs0_skip0 stages1
3483p240 file0_rs0_skip0 stages0
3440p257 file0_rs0_skip0 stages0
2603p130 file0_rs0_skip0 stages2
0442p050 file0_rs0_skip0 stages3
3451p210 file0_rs0_skip0 stages0
0009p240 file0_rs0_skip0 stages4
1463p020 file0_rs0_skip0 stages1
0662m082 file0_rs0_skip0 stages0
0396p235 file0_rs0_skip0 stages6
0402p082 file0_rs0_skip0 stages6
0413p112 file0_rs0_skip0 stages4
0392p242 file0_rs0_skip0 stages6
3195m080 file0_rs0_skip0 stages4
0675m140 file0_rs0_skip0 stages0
0394p210 file0_rs0_skip0 stages6
3259p230 file0_rs0_skip0 stages2
